policyNumber1|  preApplicationNumber1| insuredIdNumber1| nameOfApplicant1| policyholderBirthday1| premiumTerm1| paymentMode1|sumInsured1|policyCashValue1|updateDate1
policyNumber2|  preApplicationNumber2| insuredIdNumber2| nameOfApplicant2| policyholderBirthday2| premiumTerm2| paymentMode2|sumInsured2|policyCashValue2|updateDate2
policyNumber3|  preApplicationNumber3| insuredIdNumber3| nameOfApplicant3| policyholderBirthday3| premiumTerm3| paymentMode3|sumInsured3|policyCashValue3|updateDate3
policyNumber4|  preApplicationNumber4| insuredIdNumber4| nameOfApplicant4| policyholderBirthday4| premiumTerm4| paymentMode4|sumInsured4|policyCashValue4|updateDate4
policyNumber5|  preApplicationNumber5| insuredIdNumber5| nameOfApplicant5| policyholderBirthday5| premiumTerm5| paymentMode5|sumInsured5|policyCashValue5|updateDate5
policyNumber6|  preApplicationNumber5| insuredIdNumber5| nameOfApplicant5| policyholderBirthday5| premiumTerm5| paymentMode5|sumInsured5|policyCashValue5|updateDate5
policyNumber7|  preApplicationNumber5| insuredIdNumber5| nameOfApplicant5| policyholderBirthday5| premiumTerm5| paymentMode5|sumInsured5|policyCashValue5|updateDate5
policyNumber8|  preApplicationNumber5| insuredIdNumber5| nameOfApplicant5| policyholderBirthday5| premiumTerm5| paymentMode5|sumInsured5|policyCashValue5|updateDate5
policyNumber9|  preApplicationNumber5| insuredIdNumber5| nameOfApplicant5| policyholderBirthday5| premiumTerm5| paymentMode5|sumInsured5|policyCashValue5|updateDate5
policyNumber10|  preApplicationNumber5| insuredIdNumber5| nameOfApplicant5| policyholderBirthday5| premiumTerm5| paymentMode5|sumInsured5|policyCashValue5|updateDate5
policyNumber11|  preApplicationNumber5| insuredIdNumber5| nameOfApplicant5| policyholderBirthday5| premiumTerm5| paymentMode5|sumInsured5|policyCashValue5|updateDate5
